imageurl,title,author,description,category,price,adurl
https://i.ebayimg.com/images/g/eDkAAOSw0LlePpVH/s-l1600.jpg,Lampe,,Lampe Højde 43cm med fatningen.,,150 kr.,https://www.dba.dk/lampe-hoejde-43cm-med-fatni/id-1063608782/
https://i.ebayimg.com/images/g/d-AAAOSwIM9ePpFa/s-l1600.jpg,,,"Oliemaleri, Langtved, b: 90 h: 70 Fiskere bøder garn.",,200 kr.,https://www.dba.dk/oliemaleri-langtved-b-90-h/id-1063608001/
https://i.ebayimg.com/images/g/6J8AAOSwSMZePos6/s-l1600.jpg,,,"Lampe To store 3-armet bordlamper, højde 70cm med skærm. 150kr/stk. Begge to for 200kr",,150 kr.,https://www.dba.dk/lampe-to-store-3-armet-bor/id-1063606892/
https://i.ebayimg.com/images/g/O~oAAOSwrzBePolp/s-l1600.jpg,,,"Fuglebur, b: 50 d: 40 h: 70",,100 kr.,https://www.dba.dk/fuglebur-b-50-d-40-h-70/id-1063606363/
https://i.ebayimg.com/images/g/WisAAOSwuEhePCzf/s-l1600.jpg,Luthers Huuspostil,,"Luthers Huuspostil, emne: religion Antikvarisk bog fra 1864 i nyere indbinding.
Dansk Gotisk skrift. 874sider.
Første Deel:
Prædikener paa Kirkeaarets almindelige Søn- og Helligdage, samt tretten Passionsprædikener.
Anden Deel:
Prædikener paa Søndagene fra Pintse til Advent, samt nogle flere til denne Postil hørende Prædikener.
(Årene 1531-1535)",religion,50 kr.,https://www.dba.dk/luthers-huuspostil-emne/id-1063559983/
https://i.ebayimg.com/images/g/1QEAAOSwafJePCVT/s-l1600.jpg,Hindu-Aandsliv og Kristendommen,L. P. Larsen,"Hindu-Aandsliv og Kristendommen, L. P. Larsen, emne: religion Antikvarisk bog fra 1907.
Indb. 286sider. Fin stand.
Om missionsforedrag holdte paa universitetet i København i efteraaret 1906 af L. P. Larsen, Missionær i Madras.
se foto af indholdsfortegnelse.",religion,50 kr.,https://www.dba.dk/hindu-aandsliv-og/id-1063558964/
https://i.ebayimg.com/images/g/l0cAAOSwYSFeO~it/s-l1600.jpg,Sagn og historier om danske mænd og kvinder.,,"Sagn og historier om danske mænd og kvinder., emne: historie og samfund ved S. Tvermose Thyregod.
Indb. 145sider, illustreret af Anna E. Munch.
Antikvarisk bog fra 1920. God stand.",historie og samfund,40 kr.,https://www.dba.dk/sagn-og-historier-om-danske/id-1063553520/
https://i.ebayimg.com/images/g/A94AAOSwsQJeO~Ry/s-l1600.jpg,HELGENER -Legender fortalt i Norden.,Tue Gad,"HELGENER -Legender fortalt i Norden., Tue Gad, emne: historie og samfund Indb. 287sider, illustreret. Fra 1971. God stand. (uden smudsomslag).",historie og samfund,40 kr.,https://www.dba.dk/helgener-legender-fortalt-i/id-1063553026/
https://i.ebayimg.com/images/g/oksAAOSweHteO~I2/s-l1600.jpg,Sagaer og Nordens Guder,Oehlenschläger,"Sagaer og Nordens Guder, Oehlenschläger, emne: historie og samfund Antikvarisk bog fra 1914. Indb. 298sider. God stand.
Indhold:
Ørvarodds Saga - et oldnordisk eventyr.
Nordens Guder - et episk digt
Langelands-Reisen (1804)
Frederiksbergdigtet (1816)
Reisedigte
Aarets Evangelium i Naturen og Mennesket",historie og samfund,75 kr.,https://www.dba.dk/sagaer-og-nordens-guder/id-1063552782/
https://i.ebayimg.com/images/g/S5oAAOSwiaVeOq9m/s-l1600.jpg,Florence Nightingale,Lytton Strachey,"Florence Nightingale, Lytton Strachey, emne: historie og samfund Hæftet. Fra 1960. Rimelig stand.",historie og samfund,20 kr.,https://www.dba.dk/florence-nightingale-lytton/id-1063527853/
https://i.ebayimg.com/images/g/BBcAAOSw0-5eOq6~/s-l1600.jpg,Alene over verdens top,Jack O`Brian,"Alene over verdens top, Jack O`Brian, emne: historie og samfund Hæftet. Fra 1955. Rimelig stand.",historie og samfund,20 kr.,https://www.dba.dk/alene-over-verdens-top-jack/id-1063527800/
https://i.ebayimg.com/images/g/PLgAAOSwBi5eOq4q/s-l1600.jpg,,,"Min Sverigeshistorie 1 & 2, Vilhelm Moberg, emne: historie og samfund Paperbacks. 2 stk. sælges samlet. 1) Fra Odin til Engelbrekt. 2) Fra Engelbreckt til og med Dacke. Fra 1971. Pæn stand.",,45 kr.,https://www.dba.dk/min-sverigeshistorie-1-2/id-1063527750/
https://i.ebayimg.com/images/g/N2EAAOSw3nNeOq09/s-l1600.jpg,Hvem har flyttet min ost?,Spencer Johnson,"Hvem har flyttet min ost?, Spencer Johnson, emne: personlig udvikling Indb. Fra 2011. Som ny.",personlig udvikling,20 kr.,https://www.dba.dk/hvem-har-flyttet-min-ost/id-1063527626/
https://i.ebayimg.com/images/g/6r8AAOSwqNxeOqyJ/s-l1600.jpg,En dejlig dag,Herman Bang,"En dejlig dag, Herman Bang, genre: noveller Paperback. Fra 1974. Bind 2. pæn stand.",noveller,20 kr.,https://www.dba.dk/en-dejlig-dag-herman-bang/id-1063527517/
https://i.ebayimg.com/images/g/eGUAAOSwEYReOqv3/s-l1600.jpg,Eksperterne udtaler.......,Christopher Cerf & Viktor Navasky,"Eksperterne udtaler......., Christopher Cerf & Viktor Navasky, emne: journalistik Paperback. Fra 1988. Rimelig stand.",journalistik,15 kr.,https://www.dba.dk/eksperterne-udtaler/id-1063527433/
https://i.ebayimg.com/images/g/aWQAAOSwf9teOqru/s-l1600.jpg,Overlevende blandt fremmede,Misha Defonseca,"Overlevende blandt fremmede, Misha Defonseca, genre: roman Indb. Fra 2005. Fin stand.",roman,30 kr.,https://www.dba.dk/overlevende-blandt-fremmede/id-1063527393/
https://i.ebayimg.com/images/g/IJ8AAOSwMDpeOqpx/s-l1600.jpg,Mit urskovshospital,Albert Schweitzer,"Mit urskovshospital, Albert Schweitzer, emne: historie og samfund Hæftet. Fra 1952. Rimelig stand.",historie og samfund,20 kr.,https://www.dba.dk/mit-urskovshospital-albert/id-1063527353/
https://i.ebayimg.com/images/g/Ss4AAOSw2bReOqn4/s-l1600.jpg,Papa,Gregory Hemingway,"Papa, Gregory Hemingway, genre: biografi Hæftet. Fra 1976. Fin stand",biografi,25 kr.,https://www.dba.dk/papa-gregory-hemingway/id-1063527292/
https://i.ebayimg.com/images/g/GUYAAOSwlr1eOqlb/s-l1600.jpg,Oldtidens Grækere. Hvad vasemaleriet fortæller,Elizabeth Rawson,"Oldtidens Grækere. Hvad vasemaleriet fortæller, Elizabeth Rawson, emne: historie og samfund Hæftet. Fra 1979. Pæn stand.",historie og samfund,25 kr.,https://www.dba.dk/oldtidens-graekere-hvad/id-1063527242/
https://i.ebayimg.com/images/g/6g8AAOSwlj9eOqjO/s-l1600.jpg,Harald og Flemming fortæller,Harald og Flemming Nielsen,"Harald og Flemming fortæller , Harald og Flemming Nielsen, genre: biografi Hæftet . Rimelig stand.",biografi,20 kr.,https://www.dba.dk/harald-og-flemming-fortaeller/id-1063527167/
https://i.ebayimg.com/images/g/840AAOSwTUBeOqfc/s-l1600.jpg,Farmor fortæller,Dori Rasmussen,"Farmor fortæller, Dori Rasmussen, emne: historie og samfund Hæftet. fra 1990. Pæn stand.",historie og samfund,20 kr.,https://www.dba.dk/farmor-fortaeller-dori/id-1063526995/
https://i.ebayimg.com/images/g/rcIAAOSwjCBeOqdc/s-l1600.jpg,Eventyr og ægteskab,Hugo Hørlyck Karlsen,"Eventyr og ægteskab, Hugo Hørlyck Karlsen, genre: eventyr Hæftet. fra 1984. Pæn stand.",eventyr,20 kr.,https://www.dba.dk/eventyr-og-aegteskab-hugo/id-1063526787/
https://i.ebayimg.com/images/g/cxUAAOSwqg9eOqa4/s-l1600.jpg,Robinson Cruson`s ø,Arne Falk Rønne,"Robinson Cruson`s ø, Arne Falk Rønne, emne: historie og samfund Hæftet. Fra 1953. Rimelig stand.",historie og samfund,15 kr.,https://www.dba.dk/robinson-crusons-oe-arne-falk/id-1063526890/
https://i.ebayimg.com/images/g/TrwAAOSw8xJeOqYv/s-l1600.jpg,Med natten mod vest,beryl Markham,"Med natten mod vest, beryl Markham, genre: biografi Hæftet. Fra 1988. Rimelig stand.",biografi,20 kr.,https://www.dba.dk/med-natten-mod-vest-beryl/id-1063526743/
https://i.ebayimg.com/images/g/BRMAAOSwyR1eOqWh/s-l1600.jpg,De grønne stier,Knud Bavngaard,"De grønne stier, Knud Bavngaard, genre: roman Hæftet. Fra 1971. Rimelig stand.",roman,20 kr.,https://www.dba.dk/de-groenne-stier-knud/id-1063526742/
https://i.ebayimg.com/images/g/9rMAAOSwjyZeOqUt/s-l1600.jpg,Simone,cæcilie Lassen,"Simone, cæcilie Lassen, genre: roman Hæftet. Fra 1987. Pæn stand.",roman,20 kr.,https://www.dba.dk/simone-caecilie-lassen-genre/id-1063526726/
https://i.ebayimg.com/images/g/A7wAAOSwMN5eOqSt/s-l1600.jpg,Ved brønden,Selma Frode Kristensen,"Ved brønden, Selma Frode Kristensen, genre: roman Et kulturbillede fra århundredskiftet (1800 til 1900).
Indb. Fra 1987.",roman,20 kr.,https://www.dba.dk/ved-broenden-selma-frode/id-1063526540/
